"model","n","p","rho","rule","reps","sure4","sure10","sure20","sure30","sure50","sure100","sure20_fair"
"M4",2000,2000,0.5,"ours",40,0.425,0.5,0.675,0.75,0.775,0.825,0.675
"M4",2000,2000,0.5,"qsis",40,0.7,0.9,0.975,1,1,1,0.975
"M4",2000,2000,0.5,"union",40,0.8,0.925,1,1,1,1,0.925
"M4",2000,2000,0.5,"inter",40,0.4,0.475,0.65,0.75,0.775,0.825,0.65
"M4",5000,500,0,"ours",40,0.075,0.225,0.3,0.4,0.45,0.6,0.3
"M4",5000,500,0,"qsis",40,0.65,0.95,0.975,0.975,0.975,0.975,0.975
"M4",5000,500,0,"union",40,0.675,0.95,0.975,0.975,0.975,0.975,0.95
"M4",5000,500,0,"inter",40,0.05,0.225,0.3,0.4,0.45,0.6,0.3
"M4",5000,500,0.2,"ours",40,0.375,0.7,0.775,0.875,0.875,0.925,0.775
"M4",5000,500,0.2,"qsis",40,1,1,1,1,1,1,1
"M4",5000,500,0.2,"union",40,1,1,1,1,1,1,1
"M4",5000,500,0.2,"inter",40,0.375,0.7,0.775,0.875,0.875,0.925,0.775
"M4",5000,500,0.25,"ours",40,0.55,0.8,0.9,0.95,0.95,0.975,0.9
"M4",5000,500,0.25,"qsis",40,0.975,1,1,1,1,1,1
"M4",5000,500,0.25,"union",40,0.975,1,1,1,1,1,1
"M4",5000,500,0.25,"inter",40,0.55,0.8,0.9,0.95,0.95,0.975,0.9
"M4",5000,500,0.3,"ours",40,0.725,0.85,0.925,0.95,0.975,0.975,0.925
"M4",5000,500,0.3,"qsis",40,1,1,1,1,1,1,1
"M4",5000,500,0.3,"union",40,1,1,1,1,1,1,1
"M4",5000,500,0.3,"inter",40,0.725,0.85,0.925,0.95,0.975,0.975,0.925
"M4",5000,500,0.4,"ours",40,0.85,0.975,0.975,0.975,0.975,1,0.975
"M4",5000,500,0.4,"qsis",40,1,1,1,1,1,1,1
"M4",5000,500,0.4,"union",40,1,1,1,1,1,1,1
"M4",5000,500,0.4,"inter",40,0.85,0.975,0.975,0.975,0.975,1,0.975
"M4",5000,500,0.5,"ours",40,0.975,0.975,1,1,1,1,1
"M4",5000,500,0.5,"qsis",40,1,1,1,1,1,1,1
"M4",5000,500,0.5,"union",40,1,1,1,1,1,1,1
"M4",5000,500,0.5,"inter",40,0.975,0.975,1,1,1,1,1
"M4",5000,1000,0,"ours",40,0.025,0.15,0.275,0.375,0.525,0.7,0.275
"M4",5000,1000,0,"qsis",40,0.55,0.9,0.975,0.975,1,1,0.975
"M4",5000,1000,0,"union",40,0.65,0.95,1,1,1,1,0.95
"M4",5000,1000,0,"inter",40,0.025,0.15,0.275,0.375,0.525,0.7,0.275
"M4",5000,1000,0.2,"ours",40,0.3,0.525,0.675,0.725,0.725,0.825,0.675
"M4",5000,1000,0.2,"qsis",40,0.95,1,1,1,1,1,1
"M4",5000,1000,0.2,"union",40,1,1,1,1,1,1,1
"M4",5000,1000,0.2,"inter",40,0.275,0.525,0.675,0.725,0.725,0.825,0.675
"M4",5000,1000,0.25,"ours",40,0.525,0.85,0.85,0.875,0.875,0.9,0.85
"M4",5000,1000,0.25,"qsis",40,0.975,1,1,1,1,1,1
"M4",5000,1000,0.25,"union",40,0.975,1,1,1,1,1,1
"M4",5000,1000,0.25,"inter",40,0.525,0.85,0.85,0.875,0.875,0.9,0.85
"M4",5000,1000,0.3,"ours",40,0.6,0.825,0.9,0.9,0.925,0.95,0.9
"M4",5000,1000,0.3,"qsis",40,1,1,1,1,1,1,1
"M4",5000,1000,0.3,"union",40,1,1,1,1,1,1,1
"M4",5000,1000,0.3,"inter",40,0.6,0.825,0.9,0.9,0.925,0.95,0.9
"M4",5000,1000,0.4,"ours",40,0.9,0.925,0.975,1,1,1,0.975
"M4",5000,1000,0.4,"qsis",40,1,1,1,1,1,1,1
"M4",5000,1000,0.4,"union",40,1,1,1,1,1,1,1
"M4",5000,1000,0.4,"inter",40,0.9,0.925,0.975,1,1,1,0.975
"M4",5000,1000,0.5,"ours",40,0.95,1,1,1,1,1,1
"M4",5000,1000,0.5,"qsis",40,1,1,1,1,1,1,1
"M4",5000,1000,0.5,"union",40,1,1,1,1,1,1,1
"M4",5000,1000,0.5,"inter",40,0.95,1,1,1,1,1,1
"M4",5000,2000,0,"ours",40,0.025,0.1,0.125,0.15,0.3,0.4,0.125
"M4",5000,2000,0,"qsis",40,0.35,0.85,0.875,0.9,0.95,1,0.875
"M4",5000,2000,0,"union",40,0.375,0.85,0.875,0.9,0.95,1,0.85
"M4",5000,2000,0,"inter",40,0,0.1,0.125,0.15,0.3,0.4,0.125
"M4",5000,2000,0.2,"ours",40,0.35,0.6,0.675,0.7,0.8,0.825,0.675
"M4",5000,2000,0.2,"qsis",40,0.9,0.975,1,1,1,1,1
"M4",5000,2000,0.2,"union",40,0.925,1,1,1,1,1,1
"M4",5000,2000,0.2,"inter",40,0.35,0.6,0.675,0.7,0.8,0.825,0.675
"M4",5000,2000,0.25,"ours",40,0.4,0.6,0.7,0.725,0.775,0.875,0.7
"M4",5000,2000,0.25,"qsis",40,0.9,1,1,1,1,1,1
"M4",5000,2000,0.25,"union",40,0.925,1,1,1,1,1,1
"M4",5000,2000,0.25,"inter",40,0.375,0.6,0.7,0.725,0.775,0.875,0.7
"M4",5000,2000,0.3,"ours",40,0.625,0.75,0.775,0.825,0.85,0.875,0.775
"M4",5000,2000,0.3,"qsis",40,1,1,1,1,1,1,1
"M4",5000,2000,0.3,"union",40,1,1,1,1,1,1,1
"M4",5000,2000,0.3,"inter",40,0.625,0.75,0.775,0.825,0.85,0.875,0.775
"M4",5000,2000,0.4,"ours",40,0.825,0.925,0.925,0.925,0.95,0.95,0.925
"M4",5000,2000,0.4,"qsis",40,0.975,1,1,1,1,1,1
"M4",5000,2000,0.4,"union",40,0.975,1,1,1,1,1,1
"M4",5000,2000,0.4,"inter",40,0.825,0.925,0.925,0.925,0.95,0.95,0.925
"M4",5000,2000,0.5,"ours",40,0.95,1,1,1,1,1,1
"M4",5000,2000,0.5,"qsis",40,1,1,1,1,1,1,1
"M4",5000,2000,0.5,"union",40,1,1,1,1,1,1,1
"M4",5000,2000,0.5,"inter",40,0.95,1,1,1,1,1,1
