"model","a","b","sure20"
"M1",0.25,0,0.055
"M2",0.25,0,0.005
"M3",0.25,0,0.01
"M4",0.25,0,0.005
"M1",0.3,0,0.65
"M2",0.3,0,0.03
"M3",0.3,0,0.125
"M4",0.3,0,0.045
"M1",0.35,0,0.57
"M2",0.35,0,0.03
"M3",0.35,0,0.185
"M4",0.35,0,0.06
"M1",0.4,0,0.505
"M2",0.4,0,0.02
"M3",0.4,0,0.075
"M4",0.4,0,0.04
"M1",0.45,0,0.395
"M2",0.45,0,0.045
"M3",0.45,0,0.025
"M4",0.45,0,0.005
"M1",0.5,0,0.255
"M2",0.5,0,0.085
"M3",0.5,0,0.045
"M4",0.5,0,0.015
"M1",0.25,0.05,0.08
"M2",0.25,0.05,0.02
"M3",0.25,0.05,0.06
"M4",0.25,0.05,0.06
"M1",0.3,0.05,0.915
"M2",0.3,0.05,0.045
"M3",0.3,0.05,0.445
"M4",0.3,0.05,0.3
"M1",0.35,0.05,0.86
"M2",0.35,0.05,0.105
"M3",0.35,0.05,0.325
"M4",0.35,0.05,0.16
"M1",0.4,0.05,0.805
"M2",0.4,0.05,0.175
"M3",0.4,0.05,0.19
"M4",0.4,0.05,0.115
"M1",0.45,0.05,0.615
"M2",0.45,0.05,0.205
"M3",0.45,0.05,0.1
"M4",0.45,0.05,0.06
"M1",0.5,0.05,0.575
"M2",0.5,0.05,0.195
"M3",0.5,0.05,0.07
"M4",0.5,0.05,0.025
"M1",0.25,0.1,0.115
"M2",0.25,0.1,0.045
"M3",0.25,0.1,0.07
"M4",0.25,0.1,0.05
"M1",0.3,0.1,0.935
"M2",0.3,0.1,0.05
"M3",0.3,0.1,0.605
"M4",0.3,0.1,0.385
"M1",0.35,0.1,0.925
"M2",0.35,0.1,0.125
"M3",0.35,0.1,0.4
"M4",0.35,0.1,0.23
"M1",0.4,0.1,0.845
"M2",0.4,0.1,0.165
"M3",0.4,0.1,0.31
"M4",0.4,0.1,0.165
"M1",0.45,0.1,0.765
"M2",0.45,0.1,0.185
"M3",0.45,0.1,0.145
"M4",0.45,0.1,0.07
"M1",0.5,0.1,0.56
"M2",0.5,0.1,0.18
"M3",0.5,0.1,0.09
"M4",0.5,0.1,0.03
"M1",0.25,0.15,0.065
"M2",0.25,0.15,0.02
"M3",0.25,0.15,0.085
"M4",0.25,0.15,0.045
"M1",0.3,0.15,0.975
"M2",0.3,0.15,0.09
"M3",0.3,0.15,0.5
"M4",0.3,0.15,0.375
"M1",0.35,0.15,0.945
"M2",0.35,0.15,0.125
"M3",0.35,0.15,0.42
"M4",0.35,0.15,0.215
"M1",0.4,0.15,0.905
"M2",0.4,0.15,0.16
"M3",0.4,0.15,0.25
"M4",0.4,0.15,0.145
"M1",0.45,0.15,0.795
"M2",0.45,0.15,0.185
"M3",0.45,0.15,0.13
"M4",0.45,0.15,0.04
"M1",0.5,0.15,0.58
"M2",0.5,0.15,0.17
"M3",0.5,0.15,0.065
"M4",0.5,0.15,0.01
"M1",0.25,0.2,0.04
"M2",0.25,0.2,0.015
"M3",0.25,0.2,0.045
"M4",0.25,0.2,0.03
"M1",0.3,0.2,0.955
"M2",0.3,0.2,0.045
"M3",0.3,0.2,0.525
"M4",0.3,0.2,0.305
"M1",0.35,0.2,0.915
"M2",0.35,0.2,0.075
"M3",0.35,0.2,0.425
"M4",0.35,0.2,0.155
"M1",0.4,0.2,0.83
"M2",0.4,0.2,0.13
"M3",0.4,0.2,0.21
"M4",0.4,0.2,0.08
"M1",0.45,0.2,0.73
"M2",0.45,0.2,0.125
"M3",0.45,0.2,0.11
"M4",0.45,0.2,0.055
"M1",0.5,0.2,0.525
"M2",0.5,0.2,0.15
"M3",0.5,0.2,0.04
"M4",0.5,0.2,0.01
"M1",0.25,0.3,0.015
"M2",0.25,0.3,0.01
"M3",0.25,0.3,0.015
"M4",0.25,0.3,0.005
"M1",0.3,0.3,0.86
"M2",0.3,0.3,0.02
"M3",0.3,0.3,0.32
"M4",0.3,0.3,0.18
"M1",0.35,0.3,0.875
"M2",0.35,0.3,0.055
"M3",0.35,0.3,0.25
"M4",0.35,0.3,0.09
"M1",0.4,0.3,0.815
"M2",0.4,0.3,0.065
"M3",0.4,0.3,0.09
"M4",0.4,0.3,0.02
"M1",0.45,0.3,0.55
"M2",0.45,0.3,0.08
"M3",0.45,0.3,0.04
"M4",0.45,0.3,0
"M1",0.5,0.3,0.35
"M2",0.5,0.3,0.055
"M3",0.5,0.3,0.015
"M4",0.5,0.3,0
"M1",0.25,0.4,0.01
"M2",0.25,0.4,0
"M3",0.25,0.4,0
"M4",0.25,0.4,0
"M1",0.3,0.4,0.535
"M2",0.3,0.4,0.01
"M3",0.3,0.4,0.125
"M4",0.3,0.4,0.04
"M1",0.35,0.4,0.735
"M2",0.35,0.4,0.03
"M3",0.35,0.4,0.1
"M4",0.35,0.4,0.025
"M1",0.4,0.4,0.565
"M2",0.4,0.4,0.015
"M3",0.4,0.4,0.025
"M4",0.4,0.4,0.015
"M1",0.45,0.4,0.45
"M2",0.45,0.4,0.055
"M3",0.45,0.4,0.02
"M4",0.45,0.4,0.005
"M1",0.5,0.4,0.215
"M2",0.5,0.4,0.02
"M3",0.5,0.4,0.005
"M4",0.5,0.4,0
